,0,1
3,0.19875764846801758,0.1018517017364502
7,0.30914926528930664,0.12676143646240234
15,0.42250943183898926,0.15233492851257324
31,0.5483546257019043,0.18938875198364258
63,0.6620173454284668,0.2253403663635254
127,0.7769837379455566,0.2721571922302246
255,0.8892884254455566,0.30826282501220703
511,1.0004019737243652,0.3404688835144043
1023,1.1024518013000488,0.3820536136627197
2047,1.2002983093261719,0.4159352779388428
4095,1.3043642044067383,0.43760180473327637
8191,1.381498098373413,0.4707982540130615
16383,1.4742379188537598,0.5166647434234619
32767,1.5582351684570312,0.5856730937957764
65535,1.655458927154541,0.6356449127197266
131071,1.8091342449188232,0.8064296245574951
262143,2.015385389328003,1.0681004524230957
524287,2.279149055480957,1.4019639492034912
